Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Free Sugar (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Guava raita (Amarood ka raita),,,64.36,4.19,2.07,,3.0,7.27,Indian Dishes,6.71,135.94,136.93,0.28,108.7,33.5
Grapes raita (Angoor ka raita),,,72.59,3.98,2.07,,0.71,9.66,Indian Dishes,8.51,135.64,134.52,0.26,10.55,22.88
Bottle gourd kheer (Ghiya/Lauki kheer),,,84.07,2.7,3.86,,0.55,10.0,Indian Dishes,9.63,19.62,94.18,0.23,6.2,35.87
Pumpkin kheer (Kaddu ki kheer),,,86.35,2.76,3.86,,0.63,10.44,Indian Dishes,10.12,20.99,95.61,0.24,8.06,26.95
Apple kheer (Seb ki kheer),,,81.3,2.14,3.18,,0.51,11.34,Indian Dishes,10.71,15.86,75.67,0.18,5.82,16.4
Caramel custard (baked),,,122.7,5.11,5.01,,0.0,14.95,Indian Dishes,14.92,44.78,90.59,0.53,3.02,35.21
Vanilla ice cream without egg,,,228.67,2.69,18.15,,0.0,14.21,Indian Dishes,13.45,23.97,81.27,0.1,2.13,9.67
Vanilla ice cream with egg,,,214.85,4.16,17.02,,0.0,11.71,Indian Dishes,11.69,37.72,77.42,0.34,2.13,21.98
Strawberry ice cream,,,215.61,4.15,16.96,,0.0,12.26,Indian Dishes,11.6,37.62,77.08,0.34,2.13,22.0
Chocochip ice cream,,,241.45,4.23,17.93,,0.0,16.75,Indian Dishes,16.08,34.84,73.22,0.51,2.13,24.1
Choconut ice cream,,,273.96,5.04,18.49,,0.51,23.13,Indian Dishes,21.02,29.83,67.38,0.89,2.17,29.32
Pear chocholate sunday,,,183.49,2.08,13.11,,0.07,15.02,Indian Dishes,14.41,16.26,56.67,0.24,3.34,12.72
Chocolate sauce,,,263.2,1.91,10.39,,0.0,43.21,Indian Dishes,42.06,2.8,18.8,1.13,0.0,0.63
Coffee ice cream,,,150.62,3.15,9.43,,0.0,14.09,Indian Dishes,13.35,42.09,95.72,0.15,2.16,7.18
Coffee pear alaska,,,203.99,2.88,13.22,,0.15,19.36,Indian Dishes,16.88,51.11,60.61,0.22,3.48,13.85
Crunchy butterscotch,,,277.32,3.11,20.99,,0.47,19.92,Indian Dishes,17.73,22.24,72.26,0.26,2.13,18.72
Peach melba ice cream,,,200.85,2.06,14.51,,0.06,16.31,Indian Dishes,13.35,17.92,60.55,0.11,2.99,11.79
Vanilla ice cream with apples in hot cherry sauce,,,196.32,1.73,11.45,,0.26,22.75,Indian Dishes,14.19,31.54,56.34,0.16,4.23,10.77
Grape and orange whip,,,57.39,1.41,2.62,,0.97,6.72,Indian Dishes,5.66,14.36,17.4,0.53,34.86,16.85
Honey banana cream,,,125.49,2.78,6.68,,0.7,13.64,Indian Dishes,10.51,15.65,43.52,0.23,16.68,28.45
